0 0.05 0.1 0.15 0.2 0.25 5
0.05 0.1 0.15 0.2 0.25 0.3 5
0.1 0.15 0.2 0.25 0.3 0.34 5
0.15 0.2 0.25 0.3 0.34 0.39 5
0.2 0.25 0.3 0.34 0.39 0.43 5
0.25 0.3 0.34 0.39 0.43 0.48 5
0.3 0.34 0.39 0.43 0.48 0.52 5
0.34 0.39 0.43 0.48 0.52 0.56 5
0.39 0.43 0.48 0.52 0.56 0.61 5
0.43 0.48 0.52 0.56 0.61 0.64 5
0.48 0.52 0.56 0.61 0.64 0.68 5
0.52 0.56 0.61 0.64 0.68 0.72 5
0.56 0.61 0.64 0.68 0.72 0.75 5
0.61 0.64 0.68 0.72 0.75 0.78 5
0.64 0.68 0.72 0.75 0.78 0.81 5
0.68 0.72 0.75 0.78 0.81 0.84 5
0.72 0.75 0.78 0.81 0.84 0.87 5
0.75 0.78 0.81 0.84 0.87 0.89 5
0.78 0.81 0.84 0.87 0.89 0.91 5
0.81 0.84 0.87 0.89 0.91 0.93 5
0.84 0.87 0.89 0.91 0.93 0.95 5
0.87 0.89 0.91 0.93 0.95 0.96 5
0.89 0.91 0.93 0.95 0.96 0.98 3
0.91 0.93 0.95 0.96 0.98 0.99 3
0.93 0.95 0.96 0.98 0.99 0.99 3
0.95 0.96 0.98 0.99 0.99 1 3
0.96 0.98 0.99 0.99 1 1 3
0.98 0.99 0.99 1 1 1 3
0.99 0.99 1 1 1 1 3
0.99 1 1 1 1 0.99 3
1 1 1 1 0.99 0.98 3
1 1 1 0.99 0.98 0.97 2
1 1 0.99 0.98 0.97 0.96 2
1 0.99 0.98 0.97 0.96 0.95 2
0.99 0.98 0.97 0.96 0.95 0.93 2
0.98 0.97 0.96 0.95 0.93 0.91 2
0.97 0.96 0.95 0.93 0.91 0.89 2
0.96 0.95 0.93 0.91 0.89 0.86 2
0.95 0.93 0.91 0.89 0.86 0.84 2
0.93 0.91 0.89 0.86 0.84 0.81 2
0.91 0.89 0.86 0.84 0.81 0.78 2
0.89 0.86 0.84 0.81 0.78 0.75 2
0.86 0.84 0.81 0.78 0.75 0.71 2
0.84 0.81 0.78 0.75 0.71 0.68 2
0.81 0.78 0.75 0.71 0.68 0.64 2
0.78 0.75 0.71 0.68 0.64 0.6 2
0.75 0.71 0.68 0.64 0.6 0.56 2
0.71 0.68 0.64 0.6 0.56 0.52 2
0.68 0.64 0.6 0.56 0.52 0.47 2
0.64 0.6 0.56 0.52 0.47 0.43 2
0.6 0.56 0.52 0.47 0.43 0.38 2
0.56 0.52 0.47 0.43 0.38 0.33 2
0.52 0.47 0.43 0.38 0.33 0.29 2
0.47 0.43 0.38 0.33 0.29 0.24 2
0.43 0.38 0.33 0.29 0.24 0.19 2
0.38 0.33 0.29 0.24 0.19 0.14 2
0.33 0.29 0.24 0.19 0.14 0.09 0
0.29 0.24 0.19 0.14 0.09 0.04 0
0.24 0.19 0.14 0.09 0.04 -0.01 5
0.19 0.14 0.09 0.04 -0.01 -0.06 5
0.14 0.09 0.04 -0.01 -0.06 -0.11 5
0.09 0.04 -0.01 -0.06 -0.11 -0.16 5
0.04 -0.01 -0.06 -0.11 -0.16 -0.21 5
-0.01 -0.06 -0.11 -0.16 -0.21 -0.26 5
-0.06 -0.11 -0.16 -0.21 -0.26 -0.3 5
-0.11 -0.16 -0.21 -0.26 -0.3 -0.35 5
-0.16 -0.21 -0.26 -0.3 -0.35 -0.4 5
-0.21 -0.26 -0.3 -0.35 -0.4 -0.44 5
-0.26 -0.3 -0.35 -0.4 -0.44 -0.49 5
-0.3 -0.35 -0.4 -0.44 -0.49 -0.53 5
-0.35 -0.4 -0.44 -0.49 -0.53 -0.57 5
-0.4 -0.44 -0.49 -0.53 -0.57 -0.61 5
-0.44 -0.49 -0.53 -0.57 -0.61 -0.65 5
-0.49 -0.53 -0.57 -0.61 -0.65 -0.69 5
-0.53 -0.57 -0.61 -0.65 -0.69 -0.72 5
-0.57 -0.61 -0.65 -0.69 -0.72 -0.76 0
-0.61 -0.65 -0.69 -0.72 -0.76 -0.79 0
-0.65 -0.69 -0.72 -0.76 -0.79 -0.82 5
-0.69 -0.72 -0.76 -0.79 -0.82 -0.85 5
-0.72 -0.76 -0.79 -0.82 -0.85 -0.87 5
-0.76 -0.79 -0.82 -0.85 -0.87 -0.89 1
-0.79 -0.82 -0.85 -0.87 -0.89 -0.92 2
-0.82 -0.85 -0.87 -0.89 -0.92 -0.94 1
-0.85 -0.87 -0.89 -0.92 -0.94 -0.95 2
-0.87 -0.89 -0.92 -0.94 -0.95 -0.97 1
-0.89 -0.92 -0.94 -0.95 -0.97 -0.98 2
-0.92 -0.94 -0.95 -0.97 -0.98 -0.99 1
-0.94 -0.95 -0.97 -0.98 -0.99 -0.99 2
-0.95 -0.97 -0.98 -0.99 -0.99 -1 5
-0.97 -0.98 -0.99 -0.99 -1 -1 5
-0.98 -0.99 -0.99 -1 -1 -1 5
-0.99 -0.99 -1 -1 -1 -1 5
-0.99 -1 -1 -1 -1 -0.99 2
-1 -1 -1 -1 -0.99 -0.98 5
-1 -1 -1 -0.99 -0.98 -0.97 5
-1 -1 -0.99 -0.98 -0.97 -0.96 5
-1 -0.99 -0.98 -0.97 -0.96 -0.94 5
-0.99 -0.98 -0.97 -0.96 -0.94 -0.93 5
-0.98 -0.97 -0.96 -0.94 -0.93 -0.91 5
-0.97 -0.96 -0.94 -0.93 -0.91 -0.88 5
-0.96 -0.94 -0.93 -0.91 -0.88 -0.86 5
-0.94 -0.93 -0.91 -0.88 -0.86 -0.83 5
-0.93 -0.91 -0.88 -0.86 -0.83 -0.8 5
-0.91 -0.88 -0.86 -0.83 -0.8 -0.77 4
-0.88 -0.86 -0.83 -0.8 -0.77 -0.74 4
-0.86 -0.83 -0.8 -0.77 -0.74 -0.71 4
-0.83 -0.8 -0.77 -0.74 -0.71 -0.67 4
-0.8 -0.77 -0.74 -0.71 -0.67 -0.63 4
-0.77 -0.74 -0.71 -0.67 -0.63 -0.59 4
-0.74 -0.71 -0.67 -0.63 -0.59 -0.55 4
-0.71 -0.67 -0.63 -0.59 -0.55 -0.51 4
-0.67 -0.63 -0.59 -0.55 -0.51 -0.46 4
-0.63 -0.59 -0.55 -0.51 -0.46 -0.42 4
-0.59 -0.55 -0.51 -0.46 -0.42 -0.37 4
-0.55 -0.51 -0.46 -0.42 -0.37 -0.33 4
-0.51 -0.46 -0.42 -0.37 -0.33 -0.28 4
-0.46 -0.42 -0.37 -0.33 -0.28 -0.23 4
-0.42 -0.37 -0.33 -0.28 -0.23 -0.18 4
-0.37 -0.33 -0.28 -0.23 -0.18 -0.13 4
-0.33 -0.28 -0.23 -0.18 -0.13 -0.08 4
-0.28 -0.23 -0.18 -0.13 -0.08 -0.03 4
-0.23 -0.18 -0.13 -0.08 -0.03 0.02 4
-0.18 -0.13 -0.08 -0.03 0.02 0.07 4
-0.13 -0.08 -0.03 0.02 0.07 0.12 4
-0.08 -0.03 0.02 0.07 0.12 0.17 4
-0.03 0.02 0.07 0.12 0.17 0.22 4
0.02 0.07 0.12 0.17 0.22 0.26 4
0.07 0.12 0.17 0.22 0.26 0.31 4
0.12 0.17 0.22 0.26 0.31 0.36 4
